,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,chc7lfUFN5xWDb7y1q4NKg,Yuribel A.,5.0 star rating,"Amazing little deli in Jersey City. If you are looking for an authentic place this is it. Every time i am hungry and want something fast i always end up going there to grab a chimi (Dominican sandwhich) which is also, very filling.",El Chimi Deli Restaurant,4.5 star rating,,"Spanish,, Delis"
1,ww2J1TJl6NyQ1jxKZsA9Bw,Jennifer A.,5.0 star rating,They just delivered two sandwiches $10bucks! Amazing in less 15 mins! So delicious please try this place!,El Chimi Deli Restaurant,4.5 star rating,,"Spanish,, Delis"
2,fElx00ECtFlGJMw_zUEJew,Julio M.,3.0 star rating,"Went 2 days ago for the 1st time.  I ordered both a chimi sandwich and a chicken chimi sandwich, it was great!! The bread toasty but soft, the sauce was just delicious! Only 3 stars because I have to try the other items on their menu.",El Chimi Deli Restaurant,4.5 star rating,,"Spanish,, Delis"
3,ePW7nE6JFvSmgsF_ckZtrg,Joseph M.,5.0 star rating,A real Dominican Chimi in New Jersey done the right way !,El Chimi Deli Restaurant,4.5 star rating,,"Spanish,, Delis"
