,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
40,SPNrQVWn3l9rThzKeEKq-g,Ray O.,1.0 star rating,"Their delivery person refuses to get out of his car and deliver food if it's more than two stories, more than once claims ""intercom doesn't work"", which is a convenient lie, I checked...just refuses to deliver, ""come down and get it""...Lazy D-bag. Good luck..",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
41,5XVNxj3eKDkFnMFXgP8Zzg,Ian F.,5.0 star rating,I got the diablo. Amazing. Couldn't even finish it. Awesome crispy fries. They happily boxed up the last of my sub. Made a great lunch. Generous portions. Nice outdoor seating. Awesome!,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
42,AxD5ChzkvvTgvVRMOR3NYA,Paula J.,1.0 star rating,Ordered a chipotle chicken cheesesteak and a regular Philly cheesesteak. Received two beef cheese steaks. Extremely disappointed. Tasted terrible (when you're expecting chicken).,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
43,OJ3P9Nug3E9J-gsU5T2c9A,Aaron B.,5.0 star rating,"Hands down the best cheese steak in Hoboken. When I lived in Jersey City, my fiancé and I would order from here once a week (usually on the weekends at 2am afternoon night of drinking). We were in the area Friday night and decided after dinner to get some cheese steaks to go for lunch for the next day and they were perfect per usual, even when you re-heat it!! The Chipotle cheese steak is the best...The Cajun fries are also AMAZING!!!",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
44,vdB2oXDAxGsrJKyleXMObw,Jessica C.,4.0 star rating,"I consider myself a cheesesteak aficionado so my opinion should be held in high regard. First off, I ordered delivery through yelp to my JC apartment in the heights. The estimated time was 45-60 minutes. Luckily, for my grumbling tummy, the doorbell rang within a half hour. I ran down the stairs to find a smiling gentleman with a bag that smelled glorious. When I got back upstairs, I literally ripped the bag wide open to find a torpedo of deliciousness awaiting. Meaty, cheesy, and hot, the California cheesesteak I ordered was beyond delightful, as were the crispy and spicy Cajun fries. I will most definitely be ordering from here a ton now that I'm aware of the splendor that exists within their four walls. FYI: $10 minimum on deliveries and a $3 delivery fee",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
45,-J-kbc-rO1ymMa3oZB8YQA,Yoel N.,5.0 star rating,"My last review was on 2/9/2017, and I've continued to order from this establishment. The owner truly cares about his staff but more importantly his customers. This was displayed a few weeks back when he reached out to me after I had placed an order by thanking us for continuing support. This is an extraordinary step by management as it is very rare to see this occur in the food industry. Thank you again Midtown Philly for great service and loyalty to your customers!",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
46,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,2.0 star rating,Hard to screw up philly cheese steak as take salted meat with high fat content and combine with cheese on any sort of roll.  Oddly could not get onions and peppers were extra.   Sandwich a bit light on cheese as had to check if had any.   Fries were good and quantity of food between hoagie and fries enough for two. If want cheese steak will go to shorties in Manhattan,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
47,A7QBziVkIQUVkTB4OtLtzw,Joe V.,1.0 star rating,"The amount of times I've ordered for delivery and have not received multiple items is abysmal. The service in the store is just as bad. I understand they must deal with a bad crowd sometimes, but don't open up a business in Hoboken if you can't deal with it. When talking to the manager, he showed absolutely no care in the negative feedback of their customers. I'm a local here in Hoboken and will definitely be spreading the word to ensure customer service like theirs impacts their business. Stinks because the food is the perfect 'greasy fat food', just the customer service is absolutely horrible.",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
48,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,4.0 star rating,"I ordered from Midtown Philly after a late night out because I was craving a philly and it was one of the only places open at that hour, which served one. I ordered a chipotle philly and to meet my minimum, I opted for a side of cajun fries. I don't know if the quality has gone up since the last time I ordered, or if not a lot of people order at that time so they just put in more effort, but I really enjoyed it! I especially loved the Cajun fries because even after 30 minutes + of delivery time, they were still hot and crispy, which is pretty impressive. I might need to pop in for an actual visit next time. This way, it'll taste even better, and I won't have pay that pesky little $3 delivery fee,",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
49,yzJ9ZRXgPfNHF9XT3VWrAQ,Sarah C.,3.0 star rating,"I had the ""regular"" Philly Cheesesteak with provolone and onions. It was ready fast and decently sized. I thought the meat was underseasoned and there wasn't as much cheese as I am used to, but it was overall good (after salt). I'd probably be back, but maybe get one of the sandwiches with more exciting toppings.",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
50,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,"Always a quality cheesesteak.  No offense to everyone in philly but the cheesesteaks I have had in philly have been averageeeeee.  This place could stand up to any of them.  There is an art to making a good cheesesteak, and they nailed it at midtown philly steaks.",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
51,f9H2ycbXIPv6E2B2cWY9jw,Veronica S.,4.0 star rating,"Ordered the chipotle cheesesteak, Philly cheesesteak, onion rings, and Cajun fries. Cajun fries had the right amount of spice. Onion rings were not super oily and every crunch was amazing. Chipotle mayo was delicious and Philly cheesesteak was very good. Only thing I have to say is I wish they included more cheese! Felt like flavor was there but the cheese just wasn't enough.",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
52,hCYoiEbSq1V2OB5L1T60ag,Lauren P.,1.0 star rating,Used to be a devoted customer but NO MORE.  Called in an order for pickup and arrived on time.  Was told they sent it out for delivery and he was coming back to bring me my order.  The driver came into the store and proceeded to angrily tell me he was waiting a long time and calling my cell phone over and over (phone was in my bag and I was currently talking to the cashier).  He said he was waiting a long time but his first call happened while I was in store and there was maybe a 6 minute window of time that had passed until my food came back.  I don't appreciate being yelled at for your mistake when I was apologetic AND TIPPED.  Horrible customer service.,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
53,JuhBIItFvGCtNhjJBqqoZA,Don R.,4.0 star rating,"Not bad for a traditional Philly cheese steak. Just came in for lunch while walking on the strip. Got a barbecue cheesesteak. It was a nice size, very filling. Flavor wise, it was excellent. Just the right amount of onions, peppers and cheese. The barbecue complemented the sandwich perfectly.I also tried my father's onion rings. They were good with the horseradish sauce it came with. The only drawback I had is that they don't allow you to get a free cup of water if you don't want pop. Maybe that's only customary in Chicago.",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
54,NX5Rd-gA-jQesfr9hyY-yw,Erica D.,4.0 star rating,"Ordered for delivery and the food was great.. except for the fact that it was pretty much cold. Took about an hour and a half for delivery which I think is a bit too long for two cheese steaks. I will still give four stars though because even though it took a while and the food wasn't hot, it still tasted great. Definitely will order again, just hope the delivery won't take as long next time!",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
55,sP2ZLBNcDcbqS7tL5eHVxg,Pimp D.,3.0 star rating,Great if it's 2 AM and you're drunk. Hey nothing wrong with that. Not too sure I would order here if I was sober.,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
56,3bfODM6xmSUeaksl60pMiw,Jalimah B.,5.0 star rating,I Love this place. The BBQ Cheesestake is absolutely delicious. You can add whatever toppings you would like to it. The fries are always crispy and fresh ! This is definitely my go to place whenever I am craving a  Cheesestake .,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
57,wFMfnukPZYI0po_nKDHssQ,Rosa M.,5.0 star rating,This place has the most delicious garlic cheese steak and their Cajun fries are literally to die for.,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
