,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,i_WxJpoxfsddmBne6I8cKQ,Durva L.,4.0 star rating,"This is such a small place, but some great real Punjabi food. We tried an Indo Chinese soup but would recommend that cuisine. Once we ordered hara bhara kebab and received tandoori barbecued veggies!!! They were delicious nonetheless so I am not complaining! Do take away or order in.  Simple and friendly chef. This is our new go to place for dhaba fare",Funjabi,2.5 star rating,,"Indian,, Chinese"
1,zr0jkmEJLnaZxWZi7cp09Q,Wasbir R.,1.0 star rating,Giving 1 star because theres no 0 star. This is rating is for bad service. They took my online order on seamless but cancelled it after some time. The delivery person called me that when he went to the place it was closed. It was good of seamless to give me a refund.,Funjabi,2.5 star rating,,"Indian,, Chinese"
